iter	RMSE
0	2.180395702
1	2.098948484
2	2.027456017
3	1.961192073
4	1.903073627
5	1.852882645
6	1.808619858
7	1.770011658
8	1.735399162
9	1.705138548
10	1.679295343
11	1.65551725
12	1.634825854
13	1.617271088
14	1.601738438
15	1.586875428
16	1.575486726
17	1.564067907
18	1.555117077
19	1.546917247
20	1.539031973
21	1.532686052
22	1.526337214
23	1.5205346
24	1.515010144
25	1.510167274
26	1.506764126
27	1.503534623
28	1.500170657
29	1.497092532
30	1.493942492
31	1.491830688
32	1.489473383
33	1.48757929
34	1.485446503
35	1.484181501
36	1.482152908
37	1.480980419
38	1.479140076
39	1.477893724
40	1.476485083
41	1.475325924
42	1.474183601
43	1.473113998
44	1.472205794
45	1.471242947
46	1.47034793
47	1.469447306
48	1.468829498
49	1.468313547
50	1.467859057
51	1.466843726
52	1.466056123
53	1.465334612
54	1.46464301
55	1.464235224
56	1.463440482
57	1.462972855
58	1.462469195
59	1.461756495
60	1.461057643
61	1.460761197
62	1.460343131
63	1.459808647
64	1.459407425
65	1.45895433
66	1.458462132
67	1.457995985
68	1.457624297
69	1.4571416
70	1.456475724
71	1.456119898
72	1.455712075
73	1.455314206
74	1.454883839
75	1.454438555
76	1.454132992
77	1.453691896
78	1.453289531
79	1.452871263
80	1.452351037
81	1.45188548
82	1.451574767
83	1.451386844
84	1.451092193
85	1.450790025
86	1.450687584
87	1.450343459
88	1.449968594
89	1.4497095
90	1.449384848
91	1.449048282
92	1.448866394
93	1.448726413
94	1.448315078
95	1.447889324
96	1.447708453
97	1.447435083
98	1.447144577
99	1.446817341
100	1.446529385
101	1.446351607
102	1.446153773
103	1.445812711
104	1.445477068
105	1.44510731
106	1.445039287
107	1.44480709
108	1.444325351
109	1.444069023
110	1.443751848
111	1.44328111
112	1.442960724
113	1.4427454
114	1.442565584
115	1.442160516
116	1.441825253
117	1.441598006
118	1.441283907
119	1.441008082
120	1.44075669
121	1.440576836
122	1.44047525
123	1.440160433
124	1.439860451
125	1.439445509
126	1.439143285
127	1.438938168
128	1.438739654
129	1.438555528
130	1.438315442
131	1.438173897
132	1.437899841
133	1.437643243
134	1.437402869
135	1.437220735
136	1.437041075
137	1.436683981
138	1.436373126
139	1.436051721
140	1.435759346
141	1.435573603
142	1.435252657
143	1.434983545
144	1.434860753
145	1.434521907
146	1.434385561
147	1.434226228
148	1.434027157
149	1.433732457
150	1.433509
151	1.433214287
152	1.43296415
153	1.43281931
154	1.432485102
155	1.432274597
156	1.432158485
157	1.431925557
158	1.431691167
159	1.431352293
160	1.431174797
161	1.430994693
162	1.430816778
163	1.430506436
164	1.430275746
165	1.430159297
166	1.429983378
167	1.429677724
168	1.429513407
169	1.429319284
170	1.429097114
171	1.428812558
172	1.428521492
173	1.428335748
174	1.427990249
175	1.42772211
176	1.427579301
177	1.427316654
178	1.427059909
179	1.426884441
180	1.426599413
181	1.426371235
182	1.426238547
183	1.426015423
184	1.425768067
185	1.425499882
186	1.425157522
187	1.424939461
188	1.424769984
189	1.4244804
190	1.424222457
191	1.424013722
192	1.423721354
193	1.423421745
194	1.423156356
195	1.422955188
196	1.422791123
197	1.422641159
198	1.42239907
199	1.42225834
200	1.422106696
201	1.421980708
202	1.421824455
203	1.421607508
204	1.421449768
205	1.42104601
206	1.420816926
207	1.420610115
208	1.420339128
209	1.42007453
210	1.41995341
211	1.419801998
212	1.419573986
213	1.419455137
214	1.4193307
215	1.419089789
216	1.418910677
217	1.418629537
218	1.418390256
219	1.418138915
220	1.418046532
221	1.417856088
222	1.417695466
223	1.417573909
224	1.41738436
225	1.417186452
226	1.416952462
227	1.416755064
228	1.416586449
229	1.416470468
230	1.416354948
231	1.416163333
232	1.415925728
233	1.415843
234	1.415697029
235	1.415471797
236	1.415255889
237	1.415085682
238	1.41493603
239	1.414719458
240	1.414515012
241	1.41433495
242	1.414212719
243	1.414130708
244	1.414009593
245	1.413754511
246	1.413577781
247	1.41344905
248	1.413298395
249	1.413191629
250	1.412980083
251	1.412796266
252	1.412515982
253	1.412380676
254	1.412231011
255	1.412096827
256	1.412011362
257	1.411903884
