iter	Passed	Remaining
0	24	12163
1	50	12260
2	74	12047
3	97	11834
4	119	11525
5	141	11412
6	167	11500
7	188	11346
8	210	11221
9	233	11183
10	253	11026
11	276	10974
12	303	11113
13	322	10943
14	341	10803
15	364	10770
16	384	10678
17	407	10658
18	428	10603
19	449	10539
20	470	10494
21	493	10478
22	514	10433
23	536	10404
24	559	10375
25	578	10303
26	600	10273
27	622	10253
28	642	10192
29	663	10158
30	685	10134
31	707	10099
32	730	10088
33	752	10073
34	770	9994
35	791	9958
36	817	9986
37	843	10007
38	869	10034
39	898	10084
40	940	10281
41	984	10473
42	1016	10544
43	1042	10539
44	1062	10488
45	1083	10438
46	1110	10443
47	1140	10475
48	1172	10531
49	1204	10576
50	1230	10568
51	1251	10514
52	1277	10510
53	1299	10466
54	1318	10405
55	1339	10359
56	1358	10294
57	1378	10244
58	1409	10275
59	1438	10286
60	1464	10278
61	1484	10224
62	1510	10213
63	1604	10651
64	1653	10788
65	1678	10757
66	1700	10709
67	1720	10653
68	1742	10604
69	1763	10552
70	1782	10491
71	1799	10421
72	1817	10357
73	1836	10300
74	1853	10230
75	1875	10193
76	1892	10123
77	1912	10077
78	1935	10046
79	1954	9994
80	1976	9954
81	2004	9948
82	2031	9935
83	2054	9906
84	2078	9877
85	2102	9852
86	2130	9843
87	2153	9813
88	2174	9775
89	2198	9748
90	2227	9741
91	2256	9737
92	2283	9725
93	2306	9692
94	2333	9677
95	2355	9642
96	2373	9593
97	2396	9560
98	2419	9531
99	2442	9502
100	2463	9462
101	2484	9427
102	2508	9400
103	2536	9391
104	2561	9367
105	2580	9323
106	2601	9286
107	2623	9255
108	2642	9212
109	2663	9176
110	2682	9133
111	2702	9097
112	2721	9054
113	2737	9006
114	2754	8957
115	2770	8910
116	2789	8869
117	2804	8818
118	2822	8777
119	2838	8728
120	2857	8690
121	2872	8640
122	2889	8599
123	2908	8560
124	2926	8523
125	2944	8482
126	2962	8443
127	2979	8404
128	2997	8366
129	3015	8326
130	3030	8282
131	3047	8240
132	3063	8200
133	3081	8164
134	3097	8123
135	3115	8087
136	3132	8049
137	3151	8015
138	3166	7972
139	3183	7935
140	3199	7895
